#TYPE Microsoft.PowerShell.Commands.LocalUser
"AccountExpires","Description","Enabled","FullName","PasswordChangeableDate","PasswordExpires","UserMayChangePassword","PasswordRequired","PasswordLastSet","LastLogon","Name","SID","PrincipalSource","ObjectClass"
,"Built-in account for administering the computer/domain","True","","28/01/2023 13:54:10",,"True","True","27/01/2023 13:54:10","29/01/2023 17:55:18","Administrator","S-1-5-21-1769260294-3443702124-3320297947-500","ActiveDirectory","User"
,"Built-in account for guest access to the computer/domain","False","",,,"True","False",,,"Guest","S-1-5-21-1769260294-3443702124-3320297947-501","ActiveDirectory","User"
,"Key Distribution Center Service Account","False","","29/01/2023 19:12:15","11/03/2023 19:12:15","True","True","28/01/2023 19:12:15",,"krbtgt","S-1-5-21-1769260294-3443702124-3320297947-502","ActiveDirectory","User"
,"","True","Lucas M. Clemmens","29/01/2023 21:20:35",,"True","True","28/01/2023 21:20:35","29/01/2023 15:53:33","lclemmens","S-1-5-21-1769260294-3443702124-3320297947-1105","ActiveDirectory","User"
,"Directeur","True","Madelief Smets","30/01/2023 8:16:31","12/03/2023 8:16:31","True","True","29/01/2023 8:16:31","29/01/2023 8:49:02","mad_sme","S-1-5-21-1769260294-3443702124-3320297947-1106","ActiveDirectory","User"
,"Adjunct directeur campus Gent","True","Jolanda Brands","30/01/2023 8:21:30",,"True","True","29/01/2023 8:21:30",,"jol_bra","S-1-5-21-1769260294-3443702124-3320297947-1108","ActiveDirectory","User"
,"Adjunct directeur campus Aalst","True","Henk Pell","30/01/2023 8:22:52",,"True","True","29/01/2023 8:22:52",,"hen_pel","S-1-5-21-1769260294-3443702124-3320297947-1109","ActiveDirectory","User"
,"Adjunct directeur administratie","True","Dick Brinkman","30/01/2023 8:25:04",,"True","True","29/01/2023 8:25:04",,"dir_bri","S-1-5-21-1769260294-3443702124-3320297947-1110","ActiveDirectory","User"
,"Hoofdmedewerker administratie","True","Danique Vogels","30/01/2023 8:26:34",,"True","True","29/01/2023 8:26:34",,"dan_vog","S-1-5-21-1769260294-3443702124-3320297947-1111","ActiveDirectory","User"
,"Receptioniste / Medewerker","True","Loes Heijnen","30/01/2023 8:27:56",,"True","True","29/01/2023 8:27:56",,"loe_hei","S-1-5-21-1769260294-3443702124-3320297947-1112","ActiveDirectory","User"
,"Lector Operating Systems Gent","True","Karin Visse","30/01/2023 8:30:39",,"True","True","29/01/2023 8:30:39",,"kar_vis","S-1-5-21-1769260294-3443702124-3320297947-1113","ActiveDirectory","User"
,"Praktijklector Java Gent","True","Herman Bommel","30/01/2023 8:31:45",,"True","True","29/01/2023 8:31:45",,"her_bom","S-1-5-21-1769260294-3443702124-3320297947-1114","ActiveDirectory","User"
,"Praktijklector Operating Systems Aalst","True","Doortje Heijnen","30/01/2023 8:33:02",,"True","True","29/01/2023 8:33:02",,"dor_hei","S-1-5-21-1769260294-3443702124-3320297947-1115","ActiveDirectory","User"
,"Lector Java Aalst","True","Peter Caprieaux","30/01/2023 8:34:19",,"True","True","29/01/2023 8:34:19",,"pet_cap","S-1-5-21-1769260294-3443702124-3320297947-1116","ActiveDirectory","User"
,"ICT- en netwerkbeheerder","True","Benny Clemmens","30/01/2023 8:37:18",,"True","True","29/01/2023 8:37:18","29/01/2023 13:49:05","ben_cle","S-1-5-21-1769260294-3443702124-3320297947-1117","ActiveDirectory","User"
,"DC in het domein florist.local","True","","29/01/2023 19:12:37",,"True","True","28/01/2023 19:12:37","29/01/2023 15:52:50","WINSERVER2$","S-1-5-21-1769260294-3443702124-3320297947-1000","ActiveDirectory","User"
